ПЭ-2у 165;11.09.2023 20:38:04;Заброшенное кладбище;18 км/ч;130683 км
ПЭ-2М 387;11.09.2023 20:39:24;Алмалыксай;16 км/ч;97771 км
ТЭМ2 2740;11.09.2023 20:40:03;Заброшенное кладбище;23 км/ч;94883 км
ПЭ-2М 434;11.09.2023 20:49:37;Заброшенное кладбище;20 км/ч;103666 км
ПЭ-2у 143;11.09.2023 21:10:03;Алмалыксай;14 км/ч;95455 км
ПЭ-2М 356;11.09.2023 21:10:57;Алмалыксай;13 км/ч;23212 км
ПЭ-2у 120;11.09.2023 21:12:51;Алмалыксай;12 км/ч;111159 км
ПЭ-2у 102;11.09.2023 21:14:19;Алмалыксай;20 км/ч;99679 км
ПЭ-2М 298;11.09.2023 21:15:05;Заброшенное кладбище;21 км/ч;90948 км
ПЭ-2м 421;11.09.2023 21:20:21;Заброшенное кладбище;15 км/ч;91680 км
ПЭ-2М 251;11.09.2023 21:24:05;Заброшенное кладбище;12 км/ч;21910 км
ПЭ-2у 095;11.09.2023 21:34:41;Заброшенное кладбище;15 км/ч;103592 км
ПЭ-2У 032;11.09.2023 21:36:51;Заброшенное кладбище;19 км/ч;128159 км
ПЭ-2у 094;11.09.2023 21:40:41;Заброшенное кладбище;13 км/ч;96374 км
ПЭ-2у 089;11.09.2023 21:49:18;Заброшенное кладбище;19 км/ч;98229 км
ПЭ-2М 299;11.09.2023 21:54:37;Алмалыксай;19 км/ч;90727 км
ПЭ-2у 094;11.09.2023 22:00:01;Заброшенное кладбище;10 км/ч;96377 км
ПЭ-2м 439;11.09.2023 22:06:33;Заброшенное кладбище;18 км/ч;99365 км
ПЭ-2м 340;11.09.2023 22:11:07;Заброшенное кладбище;18 км/ч;96114 км
ПЭ-2М 223;11.09.2023 22:11:36;Заброшенное кладбище;22 км/ч;114231 км
ПЭ-2у 095;11.09.2023 22:15:36;Алмалыксай;14 км/ч;103593 км
ПЭ-2М 171;11.09.2023 22:19:25;Заброшенное кладбище;18 км/ч;101798 км
ПЭ-2м 361;11.09.2023 22:20:11;Алмалыксай;12 км/ч;98494 км
ПЭ-2у 165;11.09.2023 22:29:02;Алмалыксай;12 км/ч;130693 км
ПЭ-2М 171;11.09.2023 22:40:10;Заброшенное кладбище;15 км/ч;101799 км
ПЭ-2у 166;11.09.2023 22:42:40;Заброшенное кладбище;16 км/ч;129062 км
ПЭ-2М 319;11.09.2023 22:46:33;Алмалыксай;12 км/ч;85415 км
ПЭ-2м 421;11.09.2023 22:50:05;Алмалыксай;12 км/ч;91687 км
ПЭ-2М 434;11.09.2023 22:59:53;Алмалыксай;15 км/ч;103680 км
